,F_beta,RECALL,PRECISION,F1,F1_MACRO,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,config/detection_algorithm,config/feature_analysis,config/timeseries_processing,logdir
0,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.4244663715362549,False,,,1,6cc8473377ba497fac83df4ffaa6086a,2022-12-03_10-13-56,1670062436,1.4244663715362549,11906,wmKl4d,172.17.0.4,1.4244663715362549,0,1,315f1_00000,"0_0_1_n_bins=10,0_1_window_size=10,0_1_norm=l1,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'l1', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00000_0_0_1_n_bins=10,0_1_window_size=10,0_1_norm=l1,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-13-54"
1,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.4571096897125244,False,,,1,c39c97f1dc82435c8f7e6c267a5f9e42,2022-12-03_10-13-57,1670062437,1.4571096897125244,11906,wmKl4d,172.17.0.4,1.4571096897125244,0,1,315f1_00001,"1_0_1_n_bins=20,0_1_window_size=10,0_1_norm=l1,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'l1', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00001_1_0_1_n_bins=20,0_1_window_size=10,0_1_norm=l1,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-13-56"
2,0.4872394311318917,0.4,0.0142857142857142,0.8992857142857142,0.4872394311318917,1.3595426082611084,False,,,1,e0046d4caaad467a97e710e48e303371,2022-12-03_10-13-59,1670062439,1.3595426082611084,11906,wmKl4d,172.17.0.4,1.3595426082611084,0,1,315f1_00002,"2_0_1_n_bins=10,0_1_window_size=20,0_1_norm=l1,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'l1', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00002_2_0_1_n_bins=10,0_1_window_size=20,0_1_norm=l1,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-13-57"
3,0.4799662315734788,0.2,0.0071428571428571,0.8978571428571429,0.4799662315734788,1.3740696907043457,False,,,1,c4f81ae251ac480488306b395460329c,2022-12-03_10-14-00,1670062440,1.3740696907043457,11906,wmKl4d,172.17.0.4,1.3740696907043457,0,1,315f1_00003,"3_0_1_n_bins=20,0_1_window_size=20,0_1_norm=l1,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'l1', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00003_3_0_1_n_bins=20,0_1_window_size=20,0_1_norm=l1,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-13-59"
4,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.345670223236084,False,,,1,1bd122b622054b43b25229d9a414d2c2,2022-12-03_10-14-02,1670062442,1.345670223236084,11906,wmKl4d,172.17.0.4,1.345670223236084,0,1,315f1_00004,"4_0_1_n_bins=10,0_1_window_size=10,0_1_norm=l2,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'l2', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00004_4_0_1_n_bins=10,0_1_window_size=10,0_1_norm=l2,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-14-00"
5,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.4598503112792969,False,,,1,48d116b52c4c4b6b8a3b04457d8fe5a0,2022-12-03_10-14-03,1670062443,1.4598503112792969,11906,wmKl4d,172.17.0.4,1.4598503112792969,0,1,315f1_00005,"5_0_1_n_bins=20,0_1_window_size=10,0_1_norm=l2,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'l2', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00005_5_0_1_n_bins=20,0_1_window_size=10,0_1_norm=l2,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-14-02"
6,0.4948544176706826,0.6,0.0215827338129496,0.9014285714285716,0.4948544176706826,1.4523108005523682,False,,,1,64dd682178d244e29a73a00d0d178b21,2022-12-03_10-14-05,1670062445,1.4523108005523682,11906,wmKl4d,172.17.0.4,1.4523108005523682,0,1,315f1_00006,"6_0_1_n_bins=10,0_1_window_size=20,0_1_norm=l2,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'l2', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00006_6_0_1_n_bins=10,0_1_window_size=20,0_1_norm=l2,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-14-03"
7,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.4188969135284424,False,,,1,4542923eb53146c398cf7e500eeb88a8,2022-12-03_10-14-06,1670062446,1.4188969135284424,11906,wmKl4d,172.17.0.4,1.4188969135284424,0,1,315f1_00007,"7_0_1_n_bins=20,0_1_window_size=20,0_1_norm=l2,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 20}]]","[['moving_average_transform', {'norm': 'l2', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00007_7_0_1_n_bins=20,0_1_window_size=20,0_1_norm=l2,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-14-05"
8,0.4872394311318917,0.4,0.0142857142857142,0.8992857142857142,0.4872394311318917,1.4090673923492432,False,,,1,3bc1cabdb0854424a5b4754df5c56d04,2022-12-03_10-14-07,1670062447,1.4090673923492432,11906,wmKl4d,172.17.0.4,1.4090673923492432,0,1,315f1_00008,"8_0_1_n_bins=10,0_1_window_size=10,0_1_norm=max,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 10}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'max', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00008_8_0_1_n_bins=10,0_1_window_size=10,0_1_norm=max,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-14-06"
9,0.4945126306903046,0.6,0.0214285714285714,0.9007142857142858,0.4945126306903046,1.450336217880249,False,,,1,0ba90036767b46c48221372272219e11,2022-12-03_10-14-09,1670062449,1.450336217880249,11906,wmKl4d,172.17.0.4,1.450336217880249,0,1,315f1_00009,"9_0_1_n_bins=20,0_1_window_size=10,0_1_norm=max,0_1_use_semantic_types=0,0_1_window_size=3","[['pyod_loda', {'n_bins': 20}]]","[['statistical_h_mean', {'window_size': 10}]]","[['moving_average_transform', {'norm': 'max', 'use_semantic_types': 0, 'window_size': 3}]]","/root/ray_results/_evaluate_2022-12-03_10-13-54/_evaluate_315f1_00009_9_0_1_n_bins=20,0_1_window_size=10,0_1_norm=max,0_1_use_semantic_types=0,0_1_window_size=3_2022-12-03_10-14-07"
